"binomial","LL","rangeSize","Fst","minLat","maxLat","latDif"
"Erpetogomphus_designatus","Lotic",193572,"Non Forest",24.5958333334379,48.470833333067,23.8749999996291
"Erpetogomphus_elaps","Lotic",56701,"Forest",13.9291666669369,32.4291666666495,18.4999999997126
"Erpetogomphus_heterodon","Lotic",1192,"Non Forest",31.9291666666573,34.2624999999544,2.3333333332971
"Erpetogomphus_lampropeltis","Lotic",16407,"Non Forest",25.3041666667602,36.7624999999155,11.4583333331553
"Erpetogomphus_liopeltis","Lotic",4376,"Forest",18.3041666668689,26.4708333334087,8.1666666665398
"Erpetogomphus_molossus","Lotic",5661,"Forest",25.0541666667641,29.8041666666903,4.7499999999262
"Erpetogomphus_sipedon","Lotic",3976,"Forest",18.0125000002068,24.6375000001039,6.6249999998971
"Erythemis_attala","Lentic",634404,"Non Forest",-35.7374999989583,37.7624999999,73.4999999988583
"Erythemis_collocata","Lentic",67297,"Non Forest",19.8041666668456,50.8458333330301,31.0416666661845
"Erythemis_mithroides","Lentic",104792,"Non Forest",-27.8208333324146,27.3875000000612,55.2083333324758
"Erythemis_peruviana","Lentic",613496,"Non Forest",-28.9458333323971,31.387499999999,60.3333333323961
"Erythemis_plebeja","Lentic",762117,"Non Forest",-35.7374999989583,34.3041666666204,70.0416666655787
"Erythemis_simplicicollis","Lentic",320334,"Non Forest",17.2208333335524,49.4291666663854,32.208333332833
"Erythemis_vesiculosa","Lentic",613143,"Non Forest",-29.3624999990573,42.9291666664864,72.2916666655437
"Erythrodiplax_basifusca","Lentic",39357,"Non Forest",17.8458333335427,35.720833333265,17.8749999997223
"Erythrodiplax_berenice","Lentic",240194,"Non Forest",5.30416666707087,46.262499999768,40.9583333326971
"Erythrodiplax_fervida","Lentic",85880,"Non Forest",4.22083333375437,27.012500000067,22.7916666663126
"Erythrodiplax_funerea","Lentic",106320,"Non Forest",-3.07083333279903,38.3458333332243,41.4166666660233
"Erythrodiplax_fusca","Lentic",287524,"Non Forest",-29.3208333323913,31.0958333333369,60.4166666657282
"Erythrodiplax_minuscula","Lentic",129500,"Non Forest",24.5541666667718,45.0124999997874,20.4583333330156
"Erythrodiplax_umbrata","Lentic",718366,"Non Forest",-32.5708333323408,46.8458333330922,79.416666665433
"Gomphaeschna_antilope","Lentic",65516,"Non Forest",25.1791666667621,42.137499999832,16.9583333330699
"Gomphaeschna_furcillata","Lentic",144730,"Non Forest",27.095833333399,47.8041666664107,20.7083333330117
"Gomphurus_crassus","Lotic",11467,"Forest",33.5958333332981,42.4708333331602,8.8749999998621
"Gomphurus_dilatatus","Lotic",29409,"Forest",26.0958333334146,38.9291666665485,12.8333333331339
"Gomphurus_externus","Lotic",156131,"Non Forest",25.5958333334223,52.3458333330068,26.7499999995845
"Gomphurus_fraternus","Lotic",201284,"Forest",34.0541666666243,53.4291666663233,19.374999999699
"Gomphurus_gonzalezi","Lotic",1001,"Non Forest",20.8875000001621,27.3041666667291,6.416666666567
"Gomphurus_hybridus","Lotic",45720,"Non Forest",29.5125000000282,38.5958333332204,9.0833333331922
"Gomphurus_lineatifrons","Lotic",58356,"Non Forest",32.2208333333194,48.9708333330592,16.7499999997398
"Gomphurus_lynnae","Lotic",10225,"Non Forest",39.5124999998728,47.8874999997427,8.3749999998699
"Gomphurus_modestus","Lotic",13829,"Non Forest",29.0541666667019,36.3458333332553,7.2916666665534
"Gomphurus_ozarkensis","Lotic",14515,"Forest",33.0958333333058,40.4291666665252,7.3333333332194
"Gomphurus_septima","Lotic",4986,"Forest",32.4291666666495,43.1791666664825,10.749999999833
"Gomphurus_vastus","Lotic",266316,"Non Forest",26.8458333334029,52.3874999996728,25.5416666662699
"Gomphurus_ventricosus","Lotic",44820,"Non Forest",34.6374999999485,49.8458333330456,15.2083333330971
"Gynacantha_mexicana","Lentic",139276,"Forest",-10.9458333326767,27.054166666733,37.9999999994097
"Gynacantha_nervosa","Lentic",145711,"Forest",-22.0291666658379,40.6374999998553,62.6666666656932
"Hagenius_brevistylus","Lotic",266132,"Non Forest",26.5125000000748,53.4291666663233,26.9166666662485
"Helocordulia_selysii","Lotic",42615,"Forest",29.7208333333583,39.887499999867,10.1666666665087
"Helocordulia_uhleri","Lotic",97637,"Forest",32.3874999999835,50.3458333330379,17.9583333330544
"Hesperagrion_heterodoxum","Lentic",39039,"Non Forest",16.262500000234,40.2208333331951,23.9583333329611
"Hetaerina_americana","Lotic",285299,"Non Forest",18.512500000199,48.8874999997272,30.3749999995282
"Hetaerina_calverti","Lotic",25549,"Non Forest",14.4708333335951,29.6375000000262,15.1666666664311
"Hetaerina_capitalis","Lotic",66626,"Forest",-4.36249999944563,22.9291666667971,27.2916666662427
"Hetaerina_cruentata","Lotic",33410,"Non Forest",1.09583333380291,23.4708333334553,22.3749999996524
"Hetaerina_occisa","Lotic",86584,"Non Forest",-11.9041666659951,23.9708333334476,35.8749999994427
"Hetaerina_titia","Lotic",217761,"Non Forest",8.01250000036214,45.6374999997777,37.6249999994156
"Hetaerina_vulnerata","Lotic",66020,"Non Forest",10.1791666669951,38.5124999998883,28.3333333328932
"Hylogomphus_abbreviatus","Lotic",12061,"Non Forest",33.0541666666398,46.8041666664262,13.7499999997864
"Hylogomphus_adelphus","Lotic",111920,"Non Forest",33.9708333332922,51.3874999996883,17.4166666663961
"Hylogomphus_apomyius","Lotic",44559,"Forest",29.6791666666922,39.887499999867,10.2083333331748
"Hylogomphus_geminatus","Lotic",4786,"Forest",29.8041666666903,33.429166666634,3.6249999999437
"Hylogomphus_parvidens","Lotic",29449,"Forest",31.387499999999,39.7208333332029,8.3333333332039
"Hylogomphus_viridifrons","Lotic",84963,"Non Forest",32.3874999999835,49.8458333330456,17.4583333330621
"Idiataphe_cubensis","Lentic",71067,"Non Forest",4.51250000041651,31.1791666666689,26.6666666662524
"Ischnura_barberi","Lentic",148366,"Non Forest",24.6791666667699,43.3041666664806,18.6249999997107
"Ischnura_capreolus","Lentic",669267,"Non Forest",-35.7374999989583,23.2208333334592,58.9583333324175
"Ischnura_cervula","Lentic",170410,"Non Forest",30.5125000000126,55.9291666662845,25.4166666662719
"Ischnura_damula","Lentic",231252,"Non Forest",29.137500000034,60.5958333328786,31.4583333328446
"Ischnura_demorsa","Lentic",78487,"Non Forest",18.6791666668631,39.4291666665408,20.7499999996777
"Ischnura_denticollis","Lentic",222350,"Non Forest",15.9291666669058,49.1791666663893,33.2499999994835
"Ischnura_erratica","Lentic",17225,"Non Forest",36.2624999999233,50.8458333330301,14.5833333331068
"Ischnura_gemina","Lentic",1350,"Non Forest",35.4708333332689,39.3458333332087,3.8749999999398
"Ischnura_hastata","Lentic",327853,"Non Forest",4.55416666708253,47.3041666664184,42.7499999993359
"Ischnura_kellicotti","Lentic",156348,"Non Forest",24.6791666667699,46.1374999997699,21.458333333
"Ischnura_perparva","Lentic",227464,"Non Forest",31.387499999999,55.4708333329583,24.0833333329593
"Ischnura_posita","Lentic",320601,"Non Forest",17.0541666668883,50.8458333330301,33.7916666661418
"Ischnura_prognata","Lentic",79746,"Non Forest",24.5958333334379,42.6791666664903,18.0833333330524
"Ischnura_ramburii","Lentic",143592,"Non Forest",-3.77916666612136,44.5958333331272,48.3749999992486
"Ischnura_verticalis","Lentic",308202,"Non Forest",19.0125000001913,52.0541666663447,33.0416666661534
"Ladona_deplanata","Lentic",118436,"Non Forest",25.3041666667602,44.8041666664573,19.4999999996971
"Ladona_exusta","Lentic",22604,"Non Forest",37.0124999999116,47.4708333330825,10.4583333331709
"Ladona_julia","Lentic",178201,"Forest",37.0124999999116,55.9708333329505,18.9583333330389
"Lanthus_parvulus","Lotic",40665,"Forest",36.4291666665874,49.2208333330553,12.7916666664679
"Lanthus_vernalis","Lotic",40977,"Forest",33.8458333332942,47.3874999997505,13.5416666664563
"Leptobasis_lucifer","Lentic",24027,"Forest",9.88750000033301,27.3458333333951,17.4583333330621
"Leptobasis_melinogaster","Lentic",31975,"Forest",15.6375000002437,30.3458333333485,14.7083333331048
"Leptobasis_vacillans","Lentic",122015,"Forest",-4.40416666611165,26.929166666735,31.3333333328466
"Lestes_alacer","Lentic",176016,"Non Forest",13.6375000002748,41.8041666665039,28.1666666662291
"Lestes_australis","Lentic",283585,"Non Forest",25.2625000000942,47.3041666664184,22.0416666663242
"Lestes_congener","Lentic",469587,"Non Forest",31.0125000000048,59.2208333329,28.2083333328952
